GARDEN NAME,Address,Borough,Zip,What-this,Community District,COUNCIL DISTRICT,GROW FOOD,FRUIT TREES
Feeding Tree Garden,340 Tompkins Avenue,Brooklyn,11216,DPR,B03,36,Yes,Yes
First Quincy Street Commu- nity Garden,397-401 Quincy Street,Brooklyn,11221,DPR,B03,36,Yes,Yes
Garden Of Angels,978 Greene Avenue,Brooklyn,11221,BQLT,B03,36,No,No
Garden Of Hope,392 Hancock Street,Brooklyn,11216,NYRP,B03,36,No,No
Garden Of Life,762 Herkimer Place,Brooklyn,11233,DPR,B03,36,Yes,Yes
Garden Of Plenty,19 Hunter!y Place,Brooklyn,11233,DPR,B03,36,Yes,Yes
Gates Harvest Garden,953 Gates Avenue,Brooklyn,11221,DPR,B03,36,Yes,No
Greene Acres Community Garden,322 Franklin Avenue,Brooklyn,11238,NYRP,B03,35,No,No
Greene Avenue United Neighbors Association Garden,490 Greene Avenue,Brooklyn,11216,DPR,B03,36,Yes,Yes
Halsey Ralph & Howard Community Garden,774 Halsey Street Brooklyn,Brooklyn,11233,DPR,B03,41,Yes,Yes
Hancock Community Back- yard Garden Park,322-324 Hancock Street,Brooklyn,11216,DPR,B03,36,Yes,Yes
Hart To Hart Community Garden,"104-108 Hart
Street",Brooklyn,11206,DPR,B03,36,Yes,No
Hattie Carthan Community Garden,719 Marcy Avenue,Brooklyn,11216,DPR,B03,36,Yes,Yes
Hattie Carthan Herban Farm,49 Van Buren St,Brooklyn,11221,DPR,B03,36,Yes,Yes
GARDEN NAME,,,,,,,,
Heaven's Gate Community Garden (Hart Street),"169-171 Hart
Street",Brooklyn,11206,BQLT,B03,36,No,No
Her-King Alagantic Block Association Garden,411 Herkimer Street,Brooklyn,11213,DPR,B03,36,Yes,Yes
Jane Bailey Memorial Garden,327 Greene Avenue,Brooklyn,11238,NYRP,B03,35,No,No
John The Baptist Communi- ty Garden,10 Stuyvesant Avenue,Brooklyn,11206,BQLT,B03,36,No,No
Kosciusko Street Garden And Learning Center,385 Kosciusko Street,Brooklyn,11221,DPR,B03,36,No,Yes
LDC Of Broadway,900 Broadway,Brooklyn,11206,NYRP,B03,36,No,No
Le!erts Place Block Associa- tion Garden,162 Le!erts Place,Brooklyn,11238,DPR,B03,36,Yes,Yes
Madison Harvest Communi- ty Garden,894 Madison Street,Brooklyn,11221,DPR,B03,41,Yes,No
Madison Hill Community Garden,88-90 Madison Street,Brooklyn,11216,DPR,B03,36,Yes,Yes
Marge Matthews Garden,13 Louis Place,Brooklyn,11233,DPR,B03,41,No,No
Myrtle Village Green (Pratt Area Community Council),636 Myrtle Avenue,Brooklyn,11205,DEP,B03,33,Yes,No
Senior Retreat Garden,911 Myrtle Avenue,Brooklyn,11206,NYCHA,B03,36,No,No
Patchen Avenue Garden,49 Patchen Avenue,Brooklyn,11221,BQLT,B03,41,No,No
Patchen Community Square Garden,142 Patchen Avenue,Brooklyn,11221,DPR,B03,36,Yes,Yes
Patrick Van Doren Pocket Park,123 Malcolm X Boulevard,Brooklyn,11221,DPR,B03,36,Yes,Yes
Red Gate Garden,604 Marcy Avenue,Brooklyn,11206,DPR,B03,36,Yes,Yes
Seasons Of Vision Garden,9-11 Rochester Avenue,Brooklyn,11233,DPR,B03,36,Yes,No
Shiloh Garden,323 Monroe Street,Brooklyn,11216,DPR,B03,36,Yes,Yes
Spencer Street Community Garden,230a Spencer Street,Brooklyn,11205,DPR,B03,33,No,Yes
Stars Of Hope Community Garden,213 Madison Street,Brooklyn,11216,DPR,B03,36,Yes,Yes
Sumpter Street Community Garden,182 Sumpter Street,Brooklyn,11233,DPR,B03,41,Yes,Yes
T&T Vernon Block Associa- tion Garden,200 Vernon Avenue,Brooklyn,11206,DPR,B03,36,Yes,Yes
Target Brooklyn (Bedford Avenue Block Association),931 Bedford Avenue,Brooklyn,11205,NYRP,B03,33,No,No
Tranquility Farm (Willough- by Ave. Garden),267 Throop Avenue,Brooklyn,11206,DPR,B03,36,Yes,Yes
Umoja Garden,1448 Broadway,Brooklyn,11221,DPR,B03,41,Yes,Yes
United Herkimer Garden Club,97 Herkimer Street,Brooklyn,11216,BQLT,B03,36,No,No
Vernon And Throop Com- munity Garden,253 Throop Avenue,Brooklyn,11206,DPR,B03,36,Yes,Yes
Vernon Cases Community Garden,42-48 Vernon Avenue,Brooklyn,11206,DPR,B03,36,Yes,No
Welcome Home Garden,681 Halsey Street,Brooklyn,11233,DPR,B03,41,Yes,Yes
Whole Neighborhood Garden,1001 Bedford Avenue,Brooklyn,11205,DPR,B03,36,Yes,No
Aberdeen Street Communi- ty Garden,98 Aberdeen Street,Brooklyn,11207,NYRP,B04,37,No,No
GARDEN NAME,,,,,,,,
Concerned Citizens Of Grove Street Community Garden,72 Grove Street,Brooklyn,11221,BQLT,B04,34,No,No
Contented Hart Garden,1475 Bushwick Avenue,Brooklyn,11207,BQLT,B04,37,No,No
Cooper Street Block Buster Block Assoc.,41 Cooper Street,Brooklyn,11207,DPR,B04,37,Yes,No
Cooper Street Gardeners,34 Cooper Street,Brooklyn,11207,NYRP,B04,37,No,No
Decatur Street Community Garden,1052 Decatur Street,Brooklyn,11207,NYRP,B04,37,No,No
El Garden,120 Je!erson Street,Brooklyn,11206,DPR,B04,34,Yes,Yes
Good Life Garden,46 Goodwin Place,Brooklyn,11221,DPR,B04,34,Yes,No
Granite Street Block Asso- ciation,28-32 Granite Street,Brooklyn,11207,DPR,B04,37,Yes,Yes
Infant Jesus Community Garden,36 Aberdeen Street,Brooklyn,11207,NYRP,B04,37,No,No
Know Waste Lands,1278 Myrtle Avenue,Brooklyn,11221,DPR,B04,34,Yes,No
La Finca Community Garden,1036 Flushing Avenue,Brooklyn,11237,BQLT,B04,34,No,No
Madison Square Garden,"1262-1264 Madi-
son Street",Brooklyn,11221,DPR,B04,37,Yes,Yes
Madison Street Association,974 Madison Street,Brooklyn,11221,NYRP,B04,34,No,No
Mo!at Street Community Garden,9 Mo!at Street,Brooklyn,11207,DPR,B04,37,Yes,No
People's Garden Bqlt (Youth City Little League),"1237-1241
Broadway",Brooklyn,11221,BQLT,B04,34,No,No
Woodbine Street Block Association Garden,146 Woodbine Street,Brooklyn,11221,BQLT,B04,34,No,No
400 Montauk Avenue Garden,956 New Lots Ave,Brooklyn,11208,DPR,B05,42,Yes,Yes
Artsy Bloom Community Garden,716 Sutter Avenue,Brooklyn,11207,DPR,B05,42,Yes,Yes
Ashford Learning Garden,341 Ashford Street,Brooklyn,11207,DPR,B05,37,Yes,No
Ashford Street Abundant Garden,330 Ashford Street,Brooklyn,11207,DPR,B05,37,Yes,No
BACDYS Garden (Bangla- deshi American Develop- ment and Youth Services),215 Forbell Street,Brooklyn,11208,MTA,B05,37,No,No
Big Red Garden Community Garden (William Byum),436 Van Siclen Avenue,Brooklyn,11207,DPR,B05,42,Yes,No
CAUSA Festival Garden,790 Blake Avenue,Brooklyn,11207,DPR,B05,42,Yes,Yes
Chestnut Street Garden,9 Chestnut Street,Brooklyn,11208,DPR,B05,37,Yes,Yes
Clara's Garden,579 Glenmore Avenue,Brooklyn,11207,DPR,B05,37,Yes,Yes
Cleveland Street Vegetable Garden,433 Cleveland Street,Brooklyn,11208,DPR,B05,37,Yes,No
Concerned Citizens of Barbey Street,606 Glenmore Avenue,Brooklyn,11207,DPR,B05,37,No,No
Crystal Wells Block Associa- tion Community Garden,35 Crystal Street,Brooklyn,11208,DPR,B05,37,Yes,Yes
East End Community Garden,260 Van Siclen Avenue,Brooklyn,11207,DPR,B05,37,Yes,Yes
Elton Street Block Associ- ation,585 Elton Street,Brooklyn,11208,DPR,B05,42,Yes,No
Escape To Nature (Glenmore Hendrix Block Association),555 Glenmore Avenue,Brooklyn,11207,DPR,B05,37,Yes,No
GARDEN NAME,,,,,,,,
Essex Street Community Garden,3030 Fulton Street,Brooklyn,11208,NYRP,B05,37,No,No
Euclid / Pine Street Block Association Garden,1308 Dumont Avenue,Brooklyn,11208,BQLT,B05,42,No,No
Euclid 500 Community Garden,532 Euclid Avenue,Brooklyn,11208,DPR,B05,42,Yes,Yes
Family Community Garden Brooklyn,793 Cleveland Street,Brooklyn,11208,DPR,B05,42,Yes,Yes
First Temple Of David,746 Dumont Avenue,Brooklyn,11207,DPR,B05,42,Yes,Yes
Floral Vineyard,2379 Pitkin Avenue,Brooklyn,11207,DPR,B05,37,Yes,Yes
Georgia Avenue Community Garden,328 New Lots Avenue,Brooklyn,11207,DPR,B05,42,Yes,No
Go Vertical,479 Milford Street,Brooklyn,11208,PRI,B05,42,No,No
Good Shepherds Communi- ty Group,555-557 Shepherd Avenue,Brooklyn,11208,DPR,B05,42,Yes,Yes
Green Gems,147 Fountain Avenue,Brooklyn,11208,DPR,B05,37,Yes,Yes
Gregory's Garden (P.S. 158 Memorial Garden),444 Warwick Street,Brooklyn,11207,DPR,B05,37,Yes,Yes
Hands & Heart (New Lots Urban Farm),290 New Lots Avenue,Brooklyn,11207,DPR,B05,42,Yes,Yes
Hendrix Street Block Associ- ation Garden,532 Hendrix Street,Brooklyn,11207,NYRP,B05,42,No,No
Herbal Garden Of East New York,281 Schenck Avenue,Brooklyn,11207,DPR,B05,37,Yes,Yes
Highland Park Children's Garden,400 Jamaica Avenue,Brooklyn,11208,DPR,B05,37,Yes,Yes
Jerome Gardens,447 Jerome Street,Brooklyn,11207,DPR,B05,42,Yes,Yes
Jerome-Glenmore Corner- stone,316-318 Jerome Street,Brooklyn,11207,DPR,B05,37,No,No
Jerry And The Senior Gents Of E.N.Y.,349 Schenck Avenue,Brooklyn,11207,DPR,B05,37,Yes,Yes
Linwood Street Garden (Pagan's Garden),580 Linwood Street,Brooklyn,11208,DPR,B05,42,Yes,No
Manley's Place,2539 Pitkin Avenue,Brooklyn,11208,DPR,B05,37,Yes,Yes
Montauk Community Gar- den - Concerned Residents Of Montauk Avenue,214 Montauk Avenue,Brooklyn,11208,DPR,B05,37,Yes,No
Monty’s Bradford Street Garden,522 Bradford Street,Brooklyn,11207,DPR,B05,42,No,Yes
Nehemiah Ten Greenthumb Block Association,565 Barbey Street,Brooklyn,11207,DPR,B05,42,Yes,Yes
New Vision Garden,590 Schenck Avenue,Brooklyn,11207,DPR,B05,42,Yes,Yes
Pink’s Paradise Garden of Love,1258 Loring Avenue,Brooklyn,11208,NYCHA,B05,42,No,No
Oriental Garden,326 Jerome Street,Brooklyn,11207,DPR,B05,37,Yes,No
P.S. 4k - Paradise Garden,676-696 Glenmore Avenue,Brooklyn,11207,DPR,B05,37,No,No
Poppa & Momma Jones Historical Garden,337 Van Siclen Avenue,Brooklyn,11207,DPR,B05,37,Yes,Yes
Positive Seeds Of Life Garden,554 Snediker Avenue,Brooklyn,11207,DPR,B05,42,Yes,Yes
Prophecy Garden,43-69 Malta Street,Brooklyn,11207,DPR,B05,42,Yes,No
She!eld Garden,673 She!eld Avenue,Brooklyn,11207,BQLT,B05,42,No,No
GARDEN NAME,,,,,,,,
Shield Of Faith,79-85 Montauk Avenue,Brooklyn,11208,DPR,B05,37,Yes,Yes
St. John Cantius Parish Community Garden,476 New Jersey Ave,Brooklyn,11207,DPR,B05,42,Yes,Yes
Success Garden - East New York,449-461 Williams Avenue,Brooklyn,11207,DPR,B05,42,Yes,No
TLC Sculpture Park Garden,275 Glenmore Avenue,Brooklyn,11207,DPR,B05,37,Yes,Yes
"Triple R (Rest, Re!ection, Relaxation)",641 Hendrix Street,Brooklyn,11207,DPR,B05,42,Yes,No
UCC 2 - Fresh Farm,786 Livonia Ave. Brooklyn,Brooklyn,11207,DPR,B05,42,Yes,No
UCC Youth Farm,620 Schenck Avenue,Brooklyn,11207,DPR,B05,42,Yes,Yes
Upon This Rock Community Garden,2556 Pitkin Avenue,Brooklyn,11208,DPR,B05,37,Yes,Yes
Victory Garden B5,613 Hendrix Street,Brooklyn,11207,DPR,B05,42,Yes,No
Warwick Street Greenery Glow Garden,601 Warwick Street,Brooklyn,11207,DPR,B05,42,Yes,No
Williams Avenue Communi- ty Garden,88 Williams Avenue,Brooklyn,11207,NYRP,B05,37,No,No
Ying & Yang,11329 Seaview Avenue,Brooklyn,11239,DEP,B05,42,No,No
Amazing Garden,261-265 Columbia Street,Brooklyn,11231,DPR,B06,39,Yes,Yes
Backyard Garden,61-73 Hamilton Avenue,Brooklyn,11231,DPR,B06,39,Yes,Yes
Dolly's Park,503 President Street,Brooklyn,11215,DPR,B06,39,No,No
Garden Of Union (Annie's Garden),634 Union Street,Brooklyn,11215,DPR,B06,39,Yes,Yes
Gil Hodges (Carroll Street Garden),534 Carroll Street,Brooklyn,11215,NYRP,B06,39,No,No
Green Space At President Street,222 5th Avenue,Brooklyn,11215,BANG,B06,39,No,No
Greenspace Native Plant Community Garden And Environmental Center,207 4th Avenue,Brooklyn,11217,DEP,B06,39,No,No
Human Compass Communi- ty Garden,207-209 Columbia Street,Brooklyn,11231,DPR,B06,39,No,No
Lincoln-Berkeley Communi- ty Garden,20 Lincoln Place,Brooklyn,11217,BQLT,B06,39,No,No
Pirate's Cove Garden,313 Columbia Street,Brooklyn,11231,DPR,B06,39,Yes,No
South Brooklyn Children's Garden,204 Columbia Street,Brooklyn,11231,DPR,B06,39,No,Yes
Summit Street Community Garden,281 Columbia Street,Brooklyn,11231,DPR,B06,39,Yes,Yes
Urban Meadow,125 Van Brunt Street,Brooklyn,11231,DPR,B06,39,Yes,Yes
Warren-St.Marks Communi- ty Garden,623 Warren Street,Brooklyn,11217,BANG,B06,39,No,No
6/15 Green Community Garden,544 6th Avenue,Brooklyn,11215,BANG,B07,39,No,No
64th Street Community Garden,373 64th Street,Brooklyn,11220,NYSDOT,B07,38,No,No
East 4th Street Communty Garden (Windsor Terrace Kensington Veterans Me- morial),171 E 4th Street,Brooklyn,11218,DPR,B07,39,Yes,Yes
GARDEN NAME,,,,,,,,
Prospect Farm,1194 Prospect Avenue,Brooklyn,11218,PRI,B07,39,No,No
1100 Bergen Street Commu- nity Garden,1107 Bergen Street,Brooklyn,11216,BQLT,B08,36,No,No
Eden’s Community Garden,1123 St Marks Avenue,Brooklyn,11213,DPR,B08,36,Yes,No
Imani Community Garden (Schenectady),87 Schenectady Avenue,Brooklyn,11213,NYRP,B08,36,No,No
Imani Ii Community Garden,1680 Paci!c Street,Brooklyn,11213,DPR,B08,36,Yes,No
Mama Dee's Community Garden,1397 Bedford Avenue,Brooklyn,11216,BQLT,B08,36,No,No
Prospect Heights Commu- nity Farm,252-256 St. Marks Avenue,Brooklyn,11238,BANG,B08,35,No,No
Ralph-Lincoln Service Center Garden,1654 St. John's Place,Brooklyn,11233,BQLT,B08,41,No,No
St. John's Place Renaissance Garden,1642 St. John's Place,Brooklyn,11233,BQLT,B08,41,No,No
St. Mark's Avenue / Prospect Heights Community Garden,207 St. Marks Avenue,Brooklyn,11238,BQLT,B08,35,No,No
Walt L. Shamel Community Garden,1095 Dean Street,Brooklyn,11216,DPR,B08,35,Yes,No
Westbrook Memorial Garden,1233 Paci!c Street,Brooklyn,11216,BQLT,B08,36,No,No
Lincoln Road Garden,316 Lincoln Road,Brooklyn,11225,DPR,B09,40,Yes,No
Maple Street Community Garden,237 Maple Street,Brooklyn,11225,DPR,B09,40,Yes,No
Union Street Garden And Community Development,970 Union Street,Brooklyn,11225,DPR,B09,35,Yes,Yes
Santos White Community Garden,2110 Mermaid Avenue,Brooklyn,11224,DPR,B13,47,Yes,Yes
Surfside Garden Multi-Cul- tural Coalition,2871 Surf Avenue,Brooklyn,11224,DPR,B13,47,Yes,Yes
Q Gardens Community Farm,69 East 18th Street,Brooklyn,11226,MTA/BQLT,B14,40,No,No
The Sunlight Garden,2985 Avenue X,Brooklyn,11229,NYCHA,B15,46,No,No
700 Decatur Street Block Association Garden,700 Decatur Street,Brooklyn,11233,DPR,B16,41,Yes,Yes
A Patch Of Inspiration,631 Powell Street,Brooklyn,11212,DPR,B16,42,No,Yes
Abib Newborn,495 Osborn Street,Brooklyn,11212,DPR,B16,42,Yes,Yes
Amboy Street Garden,208 Amboy Street,Brooklyn,11212,DPR,B16,41,Yes,Yes
Brownsville Community Farm (James Mckeather),239 Herzl Street,Brooklyn,11212,DPR,B16,41,No,Yes
Brownsville Green Commu- nity Garden,1418 Eastern Parkway,Brooklyn,11233,DPR,B16,41,Yes,Yes
Fantasy Garden,181 Legion Street,Brooklyn,11212,DPR,B16,41,Yes,Yes
Farmers Garden,1901 Bergen Street,Brooklyn,11233,DPR,B16,41,Yes,Yes
Fred MacLeod Community Garden,1833 Strauss Street,Brooklyn,11212,DPR,B16,41,No,Yes
Green Valley Garden,93 New Lots Avenue,Brooklyn,11212,DPR,B16,42,Yes,Yes
Howard Garden,750 Howard Avenue,Brooklyn,11212,DPR,B16,41,Yes,Yes
Hull Street Community Garden Inc.,"221-235 Hull
Street",Brooklyn,11233,DPR,B16,37,Yes,Yes
Hull Street Playground,145 Hull Street,Brooklyn,11233,NYRP,B16,41,No,No
Isabahlia Community Garden,615 Saratoga Avenue,Brooklyn,11212,DPR,B16,41,Yes,Yes
GARDEN NAME,,,,,,,,
ISO Student Farm Project,514 Rockaway Avenue,Brooklyn,11212,DPR,B16,41,Yes,No
It’s All About Brownsville,754 Thomas Boyland Street,Brooklyn,11212,DPR,B16,41,Yes,Yes
Jes Good Rewards Children's Garden,155 Amboy Street,Brooklyn,11212,DPR,B16,41,Yes,Yes
McLeod Community Garden,130 Liberty Avenue,Brooklyn,11212,NYRP,B16,37,No,No
MHBA Living Laboratory Community Garden,386 Chester Street,Brooklyn,11212,DPR,B16,42,Yes,No
Newport Garden,191-201 Newport Street,Brooklyn,11212,DPR,B16,42,Yes,Yes
Phoenix Community Garden,16 Somers Street,Brooklyn,11233,DPR,B16,41,Yes,Yes
Powell Street Garden,434 Livonia Avenue,Brooklyn,11212,DPR,B16,42,Yes,Yes
Preston Community Garden,1711 Park Place,Brooklyn,11233,DPR,B16,41,Yes,No
Saratoga Farm,1965-1971 Fulton Street,Brooklyn,11233,DPR,B16,41,Yes,No
Sh'ma Yisrael,2084-90 Paci!c Street,Brooklyn,11233,DPR,B16,41,Yes,No
Sterling Community Group Garden,1701 Sterling Place,Brooklyn,11233,DPR,B16,41,Yes,Yes
Sunkissed Garden,658 Saratoga Avenue & 89 Blake Avenue,Brooklyn,11212,DPR,B16,41,Yes,Yes
Tehuti Ma’at Community Garden,455 Ralph Avenue,Brooklyn,11233,DPR,B16,41,Yes,Yes
Rogers/Tilden/Veronica Place Garden,2601 Tilden Avenue.,Brooklyn,11226,BQLT,B17,40,No,No
Canarsie Neighborhood,9299 Schenck Street,Brooklyn,11236,DPR,B18,46,Yes,Yes
East 43rd Street Community Garden,1087 East 43rd Street,Brooklyn,11210,DPR,B18,45,Yes,Yes
Ponderosa Garden,664 East 105th Street,Brooklyn,11236,DPR,B18,42,Yes,Yes
Serenity Community Garden,4402 Ave. L,Brooklyn,11234,BQLT,B18,45,No,No
Fishbridge Park Garden,338-340 Pearl Street,Manhattan,10038,DPR,M01,1,Yes,No
Jane Street Garden,36-40 Jane Street,Manhattan,10014,DPR,M02,3,No,No
Laguardia Corner Communi- ty Garden,511 Laguardia Place,Manhattan,10012,DOT,M02,1,Yes,Yes
11 BC Serenity Garden,626 East 11th Street,Manhattan,10009,DPR,M03,2,No,No
11th Street Community Garden,422 East 11th Street,Manhattan,10009,MLT,M03,2,No,No
6BC Botanical Garden,"624-628 E 6th
Street",Manhattan,10009,DPR,M03,2,No,No
6th Street & Avenue B Garden,78-92 Avenue B,Manhattan,10009,DPR,M03,2,Yes,Yes
9th Street Community Garden & Park,703 East 9th Street,Manhattan,10009,DPR,M03,2,Yes,Yes
Albert's Garden,16-18 East 2nd Street,Manhattan,10003,MLT,M03,2,No,No
"All People's Garden, Inc.",293-295 East 3rd Street,Manhattan,10009,MLT,M03,2,No,No
Brisas Del Caribe,237 E 3rd Street,Manhattan,10009,DPR,M03,2,Yes,Yes
GARDEN NAME,,,,,,,,
Campos Community Garden,640-644 East 12th Street,Manhattan,10009,DPR,M03,2,Yes,Yes
Carmen Pabon Del Aman- ecer Jardin,117 Avenue C,Manhattan,10009,PRI,M03,2,No,No
Children's Garden,194 Avenue B,Manhattan,10009,DPR,M03,2,Yes,Yes
Children's Magical Garden,131 Stanton Street,Manhattan,10002,DPR,M03,1,No,Yes
Clinton Community Garden (LES),171 Stanton Street,Manhattan,10002,DPR,M03,1,Yes,No
Creative Little Garden,530 East 6th Street,Manhattan,10009,DPR,M03,2,No,No
De Colores Community Yard & Cultural Center,313 E 8th Street,Manhattan,10009,DPR,M03,2,Yes,Yes
Dias Y Flores,520-522 East 13th Street,Manhattan,10009,DPR,M03,2,Yes,No
Dorothy Strelsin Memorial Garden (Su!olk St. - Com- mittee Of Poor People),174 Su!olk Street,Manhattan,10002,NYRP,M03,2,No,No
Down to Earth Garden,546 East 12rh Street,Manhattan,10009,DPR,M03,2,Yes,Yes
Earth People,333-335 East 8th Street,Manhattan,10009,DPR,M03,2,No,Yes
El Jardin Del Paraiso,710 East 5th Street,Manhattan,10009,DPR,M03,2,Yes,Yes
El Sol Brillante Garden,522-528 East 12th Street,Manhattan,10009,PRI,M03,2,No,No
El Sol Brillante Jr.,537 East 12th Street,Manhattan,10009,DPR,M03,2,Yes,No
Fifth Street Slope Garden,626-27 East 5th Street,Manhattan,10009,DPR,M03,2,No,Yes
Fireman's Memorial Garden,360 East 8th Street,Manhattan,10009,DPR,M03,2,No,No
First Street Garden,48 East 1st Street,Manhattan,10003,DPR,M03,2,No,Yes
Flower Door Garden,135 Avenue C,Manhattan,10009,DPR,M03,2,Yes,Yes
Green Oasis Community Garden / Gilbert's Garden,372 East 8th Street,Manhattan,10009,DPR,M03,2,Yes,Yes
Hope Garden,193 East 2nd Street,Manhattan,10009,DPR,M03,2,No,No
Kenkeleba House Garden,212 E. 3rd Street,Manhattan,10009,DPR/FDNY,M03,2,No,No
La Casita Garden,339-41 East 8th Street,Manhattan,10009,DPR,M03,2,Yes,No
La Plaza Cultural-Armando Perez,674 East 9th Street,Manhattan,10009,DPR,M03,2,Yes,Yes
Le Petit Versailles Garden,247 E. 2nd Street,Manhattan,10009,DPR,M03,2,No,No
Liz Christy Garden,110 E Houston Street,Manhattan,10003,DPR,M03,2,No,Yes
Los Amigos,221 East 3rd Street,Manhattan,10009,DPR,M03,2,Yes,Yes
Lower East Side Ecology Center,213 E. 7th Street,Manhattan,10009,DPR,M03,2,No,No
Lower East Side People Care,25 Rutgers Street,Manhattan,10002,MLT,M03,1,No,No
"M'""nda Kalunga Garden",179 Chrystie Street,Manhattan,10002,DPR,M03,1,Yes,No
Miracle Garden,194-196 East 3rd Street,Manhattan,10009,DPR,M03,2,No,No
Orchard Alley,350-54 East 4th Street,Manhattan,10009,DPR,M03,2,No,Yes
Parque De Tranquilidad,314-318 East 4th Street,Manhattan,10009,MLT,M03,2,No,No
Peach Tree Garden,236-238 East 2nd Street,Manhattan,10009,DPR,M03,2,Yes,Yes
GARDEN NAME,,,,,,,,
Sage's Garden,281 East 4th Street,Manhattan,10009,DPR,M03,,Yes,No
Sam & Sadie Koenig Garden,237 E. 7th Street,Manhattan,10009,DPR,M03,,No,No
Secret Garden,293 East 4th Street,Manhattan,10009,DPR,M03,,Yes,Yes
