date,#_widgets
2019-06-29,26
2019-06-30,89
2019-07-01,38
2019-07-02,0
2019-07-03,98
2019-07-04,91
2019-07-05,94
2019-07-06,14
2019-07-07,97
2019-07-08,82
2019-07-09,70
2019-07-10,40
2019-07-11,97
2019-07-12,6
2019-07-13,52
2019-07-14,49
2019-07-15,7
2019-07-16,57
2019-07-17,76
2019-07-18,63
2019-07-19,43
2019-07-20,59
2019-07-21,29
2019-07-22,17
2019-07-23,99
2019-07-24,72
2019-07-25,78
2019-07-26,7
2019-07-27,44
2019-07-28,12
2019-07-29,81
2019-07-30,18
2019-07-31,93
2019-08-01,38
2019-08-02,45
2019-08-03,83
2019-08-04,31
2019-08-05,22
2019-08-06,96
2019-08-07,23
2019-08-08,27
2019-08-09,67
2019-08-10,72
2019-08-11,96
2019-08-12,90
2019-08-13,17
2019-08-14,72
2019-08-15,9
2019-08-16,62
2019-08-17,68
2019-08-18,4
2019-08-19,66
2019-08-20,3
2019-08-21,34
2019-08-22,66
2019-08-23,0
2019-08-24,58
2019-08-25,6
2019-08-26,1
2019-08-27,64
2019-08-28,55
2019-08-29,34
2019-08-30,40
2019-08-31,12
2019-09-01,68
2019-09-02,88
2019-09-03,75
2019-09-04,37
2019-09-05,73
2019-09-06,64
2019-09-07,66
2019-09-08,7
2019-09-09,13
2019-09-10,97
2019-09-11,17
2019-09-12,97
2019-09-13,98
2019-09-14,64
2019-09-15,71
2019-09-16,25
2019-09-17,9
2019-09-18,47
2019-09-19,84
2019-09-20,51
2019-09-21,97
2019-09-22,82
2019-09-23,10
2019-09-24,73
2019-09-25,67
2019-09-26,10
2019-09-27,77
2019-09-28,36
2019-09-29,99
2019-09-30,50
2019-10-01,71
2019-10-02,57
2019-10-03,9
2019-10-04,96
2019-10-05,52
2019-10-06,45
2019-10-07,58
2019-10-08,88
2019-10-09,48
2019-10-10,90
2019-10-11,30
2019-10-12,86
2019-10-13,49
2019-10-14,29
2019-10-15,94
2019-10-16,61
2019-10-17,79
2019-10-18,1
2019-10-19,71
2019-10-20,13
2019-10-21,2
2019-10-22,36
2019-10-23,32
2019-10-24,26
2019-10-25,33
2019-10-26,83
2019-10-27,63
2019-10-28,24
2019-10-29,28
2019-10-30,25
2019-10-31,82
2019-11-01,83
2019-11-02,22
2019-11-03,96
2019-11-04,18
2019-11-05,44
2019-11-06,82
2019-11-07,84
2019-11-08,86
2019-11-09,20
2019-11-10,90
2019-11-11,36
2019-11-12,35
2019-11-13,79
2019-11-14,57
2019-11-15,90
2019-11-16,13
2019-11-17,59
2019-11-18,73
2019-11-19,18
2019-11-20,62
2019-11-21,26
2019-11-22,88
2019-11-23,88
2019-11-24,93
2019-11-25,66
2019-11-26,40
2019-11-27,1
2019-11-28,6
2019-11-29,42
2019-11-30,10
2019-12-01,79
2019-12-02,34
2019-12-03,39
2019-12-04,77
2019-12-05,62
2019-12-06,4
2019-12-07,47
2019-12-08,61
2019-12-09,85
2019-12-10,73
2019-12-11,42
2019-12-12,99
2019-12-13,75
2019-12-14,53
2019-12-15,49
2019-12-16,71
2019-12-17,39
2019-12-18,89
2019-12-19,63
2019-12-20,47
2019-12-21,78
2019-12-22,42
2019-12-23,34
2019-12-24,22
2019-12-25,54
2019-12-26,76
2019-12-27,83
2019-12-28,40
2019-12-29,62
2019-12-30,69
2019-12-31,78
2020-01-01,80
2020-01-02,26
2020-01-03,74
2020-01-04,41
2020-01-05,16
2020-01-06,73
2020-01-07,58
2020-01-08,68
2020-01-09,99
2020-01-10,12
2020-01-11,31
2020-01-12,63
2020-01-13,99
2020-01-14,95
2020-01-15,95
2020-01-16,92
2020-01-17,95
2020-01-18,82
2020-01-19,20
2020-01-20,71
2020-01-21,58
2020-01-22,39
2020-01-23,32
2020-01-24,33
2020-01-25,21
2020-01-26,83
2020-01-27,5
2020-01-28,22
2020-01-29,64
2020-01-30,14
2020-01-31,4
2020-02-01,76
2020-02-02,49
2020-02-03,73
2020-02-04,82
2020-02-05,10
2020-02-06,26
2020-02-07,84
2020-02-08,89
2020-02-09,68
2020-02-10,96
2020-02-11,56
2020-02-12,43
2020-02-13,88
2020-02-14,66
2020-02-15,29
2020-02-16,19
2020-02-17,51
2020-02-18,95
2020-02-19,32
2020-02-20,75
2020-02-21,56
2020-02-22,53
2020-02-23,67
2020-02-24,33
2020-02-25,69
2020-02-26,58
2020-02-27,33
2020-02-28,74
2020-02-29,93
2020-03-01,65
2020-03-02,43
2020-03-03,34
2020-03-04,8
2020-03-05,33
2020-03-06,88
2020-03-07,47
2020-03-08,64
2020-03-09,41
2020-03-10,1
2020-03-11,13
2020-03-12,48
2020-03-13,82
2020-03-14,98
2020-03-15,54
2020-03-16,15
2020-03-17,13
2020-03-18,50
2020-03-19,56
2020-03-20,92
2020-03-21,84
2020-03-22,58
2020-03-23,73
2020-03-24,3
2020-03-25,47
2020-03-26,35
2020-03-27,60
2020-03-28,88
2020-03-29,94
2020-03-30,37
2020-03-31,6
2020-04-01,57
2020-04-02,87
2020-04-03,44
2020-04-04,57
2020-04-05,53
2020-04-06,67
2020-04-07,39
2020-04-08,0
2020-04-09,66
2020-04-10,11
2020-04-11,44
2020-04-12,90
2020-04-13,50
2020-04-14,20
2020-04-15,22
2020-04-16,51
2020-04-17,80
2020-04-18,95
2020-04-19,38
2020-04-20,50
2020-04-21,43
2020-04-22,73
2020-04-23,58
2020-04-24,35
2020-04-25,20
2020-04-26,97
2020-04-27,90
2020-04-28,75
2020-04-29,20
2020-04-30,0
2020-05-01,6
2020-05-02,0
2020-05-03,53
2020-05-04,32
2020-05-05,93
2020-05-06,11
2020-05-07,51
2020-05-08,97
2020-05-09,9
2020-05-10,52
2020-05-11,91
2020-05-12,5
2020-05-13,17
2020-05-14,12
2020-05-15,0
2020-05-16,22
2020-05-17,7
2020-05-18,23
2020-05-19,84
2020-05-20,49
2020-05-21,82
2020-05-22,41
2020-05-23,46
2020-05-24,76
2020-05-25,81
2020-05-26,58
2020-05-27,79
2020-05-28,21
2020-05-29,88
2020-05-30,84
2020-05-31,82
2020-06-01,88
2020-06-02,33
2020-06-03,91
2020-06-04,94
2020-06-05,34
2020-06-06,61
2020-06-07,63
2020-06-08,31
2020-06-09,19
2020-06-10,95
2020-06-11,18
2020-06-12,93
2020-06-13,92
2020-06-14,87
2020-06-15,5
2020-06-16,29
2020-06-17,8
2020-06-18,14
2020-06-19,7
2020-06-20,20
2020-06-21,13
2020-06-22,85
2020-06-23,25
2020-06-24,6
2020-06-25,24
2020-06-26,2
2020-06-27,88
2020-06-28,22
2020-06-29,75
2020-06-30,43
2020-07-01,95
2020-07-02,82
2020-07-03,61
2020-07-04,92
2020-07-05,43
2020-07-06,33
2020-07-07,73
2020-07-08,47
2020-07-09,1
2020-07-10,16
2020-07-11,28
2020-07-12,97
2020-07-13,32
2020-07-14,20
2020-07-15,10
2020-07-16,65
2020-07-17,25
2020-07-18,55
2020-07-19,57
2020-07-20,72
2020-07-21,99
2020-07-22,39
2020-07-23,78
2020-07-24,20
2020-07-25,14
2020-07-26,83
2020-07-27,50
2020-07-28,25
2020-07-29,64
2020-07-30,67
2020-07-31,90
2020-08-01,30
2020-08-02,96
2020-08-03,65
2020-08-04,15
2020-08-05,26
2020-08-06,57
2020-08-07,76
2020-08-08,1
2020-08-09,88
2020-08-10,50
2020-08-11,73
2020-08-12,96
2020-08-13,48
2020-08-14,71
2020-08-15,35
2020-08-16,49
2020-08-17,36
2020-08-18,16
2020-08-19,80
2020-08-20,97
2020-08-21,40
2020-08-22,37
2020-08-23,18
2020-08-24,37
2020-08-25,6
2020-08-26,18
2020-08-27,59
2020-08-28,46
2020-08-29,16
2020-08-30,43
2020-08-31,92
2020-09-01,26
2020-09-02,46
2020-09-03,10
2020-09-04,58
2020-09-05,14
2020-09-06,72
2020-09-07,79
2020-09-08,11
2020-09-09,7
2020-09-10,42
2020-09-11,50
2020-09-12,88
2020-09-13,36
2020-09-14,67
2020-09-15,68
2020-09-16,26
2020-09-17,17
2020-09-18,14
2020-09-19,86
2020-09-20,57
2020-09-21,35
2020-09-22,24
2020-09-23,81
2020-09-24,75
2020-09-25,28
2020-09-26,76
2020-09-27,67
2020-09-28,87
2020-09-29,63
2020-09-30,80
2020-10-01,5
2020-10-02,18
2020-10-03,31
2020-10-04,62
2020-10-05,24
2020-10-06,87
2020-10-07,90
2020-10-08,22
2020-10-09,41
2020-10-10,84
2020-10-11,16
2020-10-12,80
2020-10-13,56
2020-10-14,96
2020-10-15,97
2020-10-16,57
2020-10-17,68
2020-10-18,99
2020-10-19,9
2020-10-20,73
2020-10-21,28
2020-10-22,50
2020-10-23,32
2020-10-24,9
2020-10-25,3
2020-10-26,36
2020-10-27,30
2020-10-28,32
2020-10-29,19
2020-10-30,48
2020-10-31,51
2020-11-01,49
2020-11-02,2
2020-11-03,32
2020-11-04,10
2020-11-05,11
2020-11-06,69
2020-11-07,17
2020-11-08,61
2020-11-09,49
2020-11-10,18
2020-11-11,42
2020-11-12,81
2020-11-13,59
2020-11-14,38
2020-11-15,4
2020-11-16,56
2020-11-17,48
2020-11-18,22
2020-11-19,95
2020-11-20,62
2020-11-21,82
2020-11-22,81
2020-11-23,95
2020-11-24,35
2020-11-25,66
2020-11-26,33
2020-11-27,61
2020-11-28,55
2020-11-29,63
2020-11-30,10
2020-12-01,87
2020-12-02,85
2020-12-03,96
2020-12-04,78
2020-12-05,5
2020-12-06,5
2020-12-07,98
2020-12-08,91
2020-12-09,45
2020-12-10,16
2020-12-11,28
2020-12-12,91
2020-12-13,92
2020-12-14,71
2020-12-15,88
2020-12-16,41
2020-12-17,47
2020-12-18,55
2020-12-19,71
2020-12-20,61
2020-12-21,96
2020-12-22,98
2020-12-23,3
2020-12-24,71
2020-12-25,24
2020-12-26,33
2020-12-27,10
2020-12-28,3
2020-12-29,22
2020-12-30,89
2020-12-31,64
2021-01-01,55
2021-01-02,14
2021-01-03,81
2021-01-04,30
2021-01-05,24
2021-01-06,20
2021-01-07,59
2021-01-08,97
2021-01-09,38
2021-01-10,96
2021-01-11,22
2021-01-12,10
2021-01-13,61
2021-01-14,48
2021-01-15,47
2021-01-16,34
2021-01-17,93
2021-01-18,2
2021-01-19,14
2021-01-20,38
2021-01-21,69
2021-01-22,13
2021-01-23,13
2021-01-24,68
2021-01-25,36
2021-01-26,89
2021-01-27,85
2021-01-28,24
2021-01-29,35
2021-01-30,23
2021-01-31,99
2021-02-01,96
2021-02-02,52
2021-02-03,36
2021-02-04,19
2021-02-05,92
2021-02-06,22
2021-02-07,82
2021-02-08,15
2021-02-09,58
2021-02-10,15
2021-02-11,31
2021-02-12,76
2021-02-13,8
2021-02-14,65
2021-02-15,6
2021-02-16,69
2021-02-17,4
2021-02-18,9
2021-02-19,6
2021-02-20,11
2021-02-21,30
2021-02-22,72
2021-02-23,24
2021-02-24,60
2021-02-25,35
2021-02-26,38
2021-02-27,62
2021-02-28,87
2021-03-01,48
2021-03-02,65
2021-03-03,66
2021-03-04,87
2021-03-05,11
2021-03-06,15
2021-03-07,9
2021-03-08,87
2021-03-09,83
2021-03-10,28
2021-03-11,12
2021-03-12,47
2021-03-13,61
2021-03-14,29
2021-03-15,72
2021-03-16,19
2021-03-17,51
2021-03-18,51
2021-03-19,90
2021-03-20,21
2021-03-21,66
2021-03-22,64
2021-03-23,63
2021-03-24,32
2021-03-25,69
2021-03-26,16
2021-03-27,1
2021-03-28,74
2021-03-29,8
2021-03-30,90
2021-03-31,39
2021-04-01,77
2021-04-02,49
2021-04-03,48
2021-04-04,4
2021-04-05,55
2021-04-06,19
2021-04-07,30
2021-04-08,39
2021-04-09,66
2021-04-10,48
2021-04-11,38
2021-04-12,82
2021-04-13,95
2021-04-14,65
2021-04-15,26
2021-04-16,52
2021-04-17,59
2021-04-18,64
2021-04-19,87
2021-04-20,41
2021-04-21,51
2021-04-22,0
2021-04-23,11
2021-04-24,87
2021-04-25,39
2021-04-26,17
2021-04-27,2
2021-04-28,0
2021-04-29,72
2021-04-30,45
2021-05-01,8
2021-05-02,55
2021-05-03,44
2021-05-04,33
2021-05-05,66
2021-05-06,88
2021-05-07,22
2021-05-08,41
2021-05-09,76
2021-05-10,57
2021-05-11,44
2021-05-12,87
2021-05-13,86
2021-05-14,12
2021-05-15,8
2021-05-16,80
2021-05-17,75
2021-05-18,50
2021-05-19,46
2021-05-20,68
2021-05-21,87
2021-05-22,42
2021-05-23,52
2021-05-24,70
2021-05-25,68
2021-05-26,69
2021-05-27,89
2021-05-28,95
2021-05-29,3
2021-05-30,90
2021-05-31,22
2021-06-01,81
2021-06-02,10
2021-06-03,97
2021-06-04,4
2021-06-05,82
2021-06-06,17
2021-06-07,16
2021-06-08,21
2021-06-09,29
2021-06-10,90
2021-06-11,20
2021-06-12,95
2021-06-13,6
2021-06-14,73
2021-06-15,27
2021-06-16,98
2021-06-17,91
2021-06-18,68
2021-06-19,80
2021-06-20,87
2021-06-21,51
2021-06-22,2
2021-06-23,89
2021-06-24,5
2021-06-25,18
2021-06-26,45
2021-06-27,17
2021-06-28,8
2021-06-29,41
2021-06-30,60
2021-07-01,3
2021-07-02,6
2021-07-03,41
2021-07-04,10
2021-07-05,40
2021-07-06,20
2021-07-07,81
2021-07-08,25
2021-07-09,70
2021-07-10,29
2021-07-11,99
2021-07-12,98
2021-07-13,78
2021-07-14,20
2021-07-15,52
2021-07-16,79
2021-07-17,16
2021-07-18,45
2021-07-19,81
2021-07-20,28
2021-07-21,10
2021-07-22,18
2021-07-23,69
2021-07-24,83
2021-07-25,83
2021-07-26,24
2021-07-27,48
2021-07-28,24
2021-07-29,32
2021-07-30,34
2021-07-31,79
2021-08-01,92
2021-08-02,48
2021-08-03,46
2021-08-04,44
2021-08-05,64
2021-08-06,15
2021-08-07,46
2021-08-08,18
2021-08-09,70
2021-08-10,97
2021-08-11,55
2021-08-12,2
2021-08-13,74
2021-08-14,78
2021-08-15,90
2021-08-16,58
2021-08-17,6
2021-08-18,5
2021-08-19,81
2021-08-20,44
2021-08-21,58
2021-08-22,6
2021-08-23,24
2021-08-24,13
2021-08-25,33
2021-08-26,35
2021-08-27,16
2021-08-28,72
2021-08-29,42
2021-08-30,24
2021-08-31,95
2021-09-01,8
2021-09-02,8
2021-09-03,69
2021-09-04,46
2021-09-05,43
2021-09-06,53
2021-09-07,54
2021-09-08,37
2021-09-09,3
2021-09-10,56
2021-09-11,3
2021-09-12,97
2021-09-13,18
2021-09-14,9
2021-09-15,83
2021-09-16,50
2021-09-17,98
2021-09-18,78
2021-09-19,6
2021-09-20,50
2021-09-21,41
2021-09-22,93
2021-09-23,63
2021-09-24,62
2021-09-25,38
2021-09-26,53
2021-09-27,2
2021-09-28,78
2021-09-29,18
2021-09-30,23
2021-10-01,33
2021-10-02,36
2021-10-03,93
2021-10-04,77
2021-10-05,14
2021-10-06,11
2021-10-07,97
2021-10-08,79
2021-10-09,45
2021-10-10,81
2021-10-11,58
2021-10-12,3
2021-10-13,34
2021-10-14,68
2021-10-15,87
2021-10-16,94
2021-10-17,28
2021-10-18,57
2021-10-19,34
2021-10-20,14
2021-10-21,94
2021-10-22,80
2021-10-23,82
2021-10-24,88
2021-10-25,8
2021-10-26,9
2021-10-27,94
2021-10-28,79
2021-10-29,8
2021-10-30,62
2021-10-31,99
2021-11-01,54
2021-11-02,13
2021-11-03,55
2021-11-04,22
2021-11-05,36
2021-11-06,43
2021-11-07,95
2021-11-08,44
2021-11-09,60
2021-11-10,65
2021-11-11,60
2021-11-12,62
2021-11-13,60
2021-11-14,80
2021-11-15,44
2021-11-16,37
2021-11-17,5
2021-11-18,94
2021-11-19,97
2021-11-20,17
2021-11-21,56
2021-11-22,97
2021-11-23,33
2021-11-24,82
2021-11-25,85
2021-11-26,17
2021-11-27,71
2021-11-28,44
2021-11-29,72
2021-11-30,49
2021-12-01,77
2021-12-02,21
2021-12-03,58
2021-12-04,36
2021-12-05,27
2021-12-06,48
2021-12-07,50
2021-12-08,30
2021-12-09,60
2021-12-10,15
2021-12-11,67
2021-12-12,59
2021-12-13,23
2021-12-14,97
2021-12-15,9
2021-12-16,13
2021-12-17,6
2021-12-18,19
2021-12-19,60
2021-12-20,5
2021-12-21,18
2021-12-22,81
2021-12-23,70
2021-12-24,77
2021-12-25,3
2021-12-26,67
2021-12-27,66
2021-12-28,3
2021-12-29,22
2021-12-30,57
2021-12-31,34
