Year,Organization Group,Job Family,Job,Salaries,Overtime,Other Salaries,Total Salary
2011,General Administration & Finance,Med Therapy & Auxiliary,Asst Med Examiner,261534.04,10310.47,29613.45,301457.96
1994,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",181157.23,81647.9,38362.15,301167.28
2004,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",186641.46,80963.11,31920.95,299525.52
1998,Public Protection,Fire Services,"Lieutenant, Fire Suppression",148171.04,131967.86,19218.31,299357.21
1994,General Administration & Finance,Management,Dept Head V,299339.73,0,0,299339.73
1994,Human Welfare & Neighborhood Development,Management,Dept Head V,299287.79,0,0,299287.79
2003,Public Protection,Correction & Detention,Senior Deputy Sheriff,116405.92,152913.43,29803.65,299123
2010,"Public Works, Transportation & Commerce",Street Transit,"Gen Mgr, Public Trnsp Dept",299066.01,0,0,299066.01
1997,Public Protection,Correction & Detention,Sheriff's Lieutenant,142917.72,114207.02,41548.53,298673.27
1997,"Public Works, Transportation & Commerce",Management,Executive Contract Employee,286156.53,0,12060.69,298217.22
2006,Public Protection,Correction & Detention,Sheriff's Sergeant,126637.22,144408.72,26487.11,297533.05
2008,Community Health,Medical & Dental,Senior Physician Specialist,193462.84,0,103994.8,297457.64
2010,Public Protection,Management,Dep Chf Of Dept (Fire Dept),269639.13,0,27652.91,297292.04
2011,Public Protection,Correction & Detention,Deputy Sheriff,105023.3,170196.55,21975.87,297195.72
2004,Public Protection,Police Services,Inspector 3,130021.68,40037.32,126760.9,296819.9
1994,Public Protection,Correction & Detention,Senior Deputy Sheriff,112420.41,157444.58,26931.04,296796.03
2012,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",181266.6,85937.61,29448.23,296652.44
1993,Public Protection,Management,Dep Chf Of Dept (Fire Dept),269639.12,0,26963.91,296603.03
1992,General Administration & Finance,Management,Dept Head V,279879.19,0,16583.15,296462.34
2012,Public Protection,Police Services,Sergeant 3,130021.72,23502.66,142820.1,296344.48
2010,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",181266.58,90058.99,24917.21,296242.78
2003,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",181366.36,85361.92,29480.99,296209.27
2008,Community Health,Management,Manager VIII,296102.01,0,0,296102.01
2004,General Administration & Finance,Administrative & Mgmt (Unrep),Mayor,295276.88,0,0,295276.88
2010,"Public Works, Transportation & Commerce",Street Transit,"Gen Mgr, Public Trnsp Dept",295130.95,0,0,295130.95
2014,Public Protection,Police Services,Deputy Chief 3,200440.8,0,94350.76,294791.56
2005,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",179464.2,90597.44,24670.94,294732.58
2003,Public Protection,Fire Services,Asst Chf Of Dept (Fire Dept),207437.76,66383.76,20743.71,294565.23
1996,Public Protection,Correction & Detention,Deputy Sheriff,96329.79,173602.55,24464.93,294397.27
2010,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",180166.85,80476.61,33736.67,294380.13
2017,General Administration & Finance,Management,Controller,294016.51,0,0,294016.51
1998,General Administration & Finance,Management,Dept Head V,294016.51,0,0,294016.51
2003,"Public Works, Transportation & Commerce",Street Transit,"Gen Mgr, Public Trnsp Dept",294000.18,0,0,294000.18
1995,Public Protection,Fire Services,"Lieutenant, Fire Suppression",133632.44,132096.19,27845.09,293573.72
2014,Public Protection,Correction & Detention,Senior Deputy Sheriff,113674.8,160622.81,18875.8,293173.41
2009,Public Protection,Correction & Detention,Deputy Sheriff,104621,163724.36,24665.26,293010.62
2007,Public Protection,Fire Services,Asst Chf Of Dept (Fire Dept),213680.13,43273.37,35946.14,292899.64
1992,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",208169.43,53331.33,30947.62,292448.38
2011,Public Protection,Police Services,Sergeant 3,109912.41,49905.8,132447.12,292265.33
2005,Community Health,Nursing,Anesthetist,266955.11,6405.15,18668.15,292028.41
2017,Public Protection,Correction & Detention,Sheriff's Lieutenant,138256.4,109992.28,42964.77,291213.45
2005,Community Health,Medical & Dental,Supervising Physician Spec,253101.8,0,37965.26,291067.06
2003,Community Health,Nursing,Anesthetist,253010.25,9215.62,28649.16,290875.03
2009,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",186641.43,80787.61,23329.52,290758.56
2012,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",182976.63,94909.64,12727.27,290613.54
2012,Public Protection,Management,Dep Chf Of Dept (Fire Dept),265353.6,0,25145.94,290499.54
2011,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",179464.18,83882.46,26372.46,289719.1
2011,Public Protection,Correction & Detention,Sheriff's Lieutenant,144204.44,118089.32,27391.55,289685.31
1993,Public Protection,Fire Services,Asst Chf Of Dept (Fire Dept),213680.14,56312.52,19275.08,289267.74
2011,Public Protection,Fire Services,Asst Chf Of Dept (Fire Dept),207437.76,50180.86,31513.84,289132.46
1992,Community Health,Administrative & Mgmt (Unrep),"Administrator, Department Of Public Heal",289017.06,0,0,289017.06
1999,Public Protection,Police Services,Sergeant 3,130900.26,26707.8,131272.25,288880.31
1999,Public Protection,Police Services,Sergeant 3,124714.5,38831.99,125253.35,288799.84
2003,Public Protection,Management,Dep Chf Of Dept (Fire Dept),261730.83,0,26864.73,288595.56
1993,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",178553.28,80578.42,29380.31,288512.01
2002,Public Protection,Police Services,Deputy Chief 3,273397.06,0,14767.51,288164.57
1994,Public Protection,Correction & Detention,Deputy Sheriff,96318.9,170589.85,21157.99,288066.74
2009,Public Protection,Fire Services,"Captain, Fire Suppression",151527.91,104554.09,31934.16,288016.16
2004,Public Protection,Fire Services,"Capt,Fire Prev Or Fire Invsgtn",171386.38,105757.58,10772.86,287916.82
2010,Public Protection,Management,Dep Chf Of Dept (Fire Dept),261730.83,0,26162.77,287893.6
2009,Public Protection,Police Services,Sergeant 3,147741.48,117251.13,22853.86,287846.47
2010,Public Protection,Correction & Detention,Deputy Sheriff,92770.6,172612.29,22421.95,287804.84
2012,Public Protection,Fire Services,"Captain, Fire Suppression",151020.48,101666.53,34887.65,287574.66
2015,General Administration & Finance,Management,Dept Head V,287295.57,0,0,287295.57
2005,Human Welfare & Neighborhood Development,Management,Dept Head V,287259.06,0,0,287259.06
1994,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",179464.2,80185.31,27498.68,287148.19
1999,Public Protection,Fire Services,"Captain, Fire Suppression",149778.65,108095.13,28920.9,286794.68
2006,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",179737.92,80942.16,26089.86,286769.94
2009,Public Protection,Fire Services,"Lieut,Fire Prev",151606.07,125857.82,9096.35,286560.24
2003,General Administration & Finance,Administrative & Mgmt (Unrep),Mayor,286416.44,0,0,286416.44
2000,Community Health,Administrative & Mgmt (Unrep),"Manager, Department Of Public Health",286106.59,0,0,286106.59
2001,Public Protection,Fire Services,"Capt,Fire Prev Or Fire Invsgtn",173160.03,101790.66,10389.6,285340.29
1998,Public Protection,Fire Services,"Lieutenant, Fire Suppression",134905.11,126587.9,23735.6,285228.61
2013,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",184897.12,76238.22,24044.89,285180.23
1994,Public Protection,Management,Dep Chf Of Dept (Fire Dept),261730.81,0,23377,285107.81
2001,Public Protection,Fire Services,Asst Chf Of Dept (Fire Dept),209501.3,40320.96,35264.64,285086.9
1992,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",181266.58,68445.11,35297.83,285009.52
2008,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",177771.14,76464.59,30622,284857.73
2017,General Administration & Finance,Management,Dept Head V,284712.2,0,0,284712.2
1995,Public Protection,Police Services,Deputy Chief 3,277808.41,0,6379.36,284187.77
2007,Public Protection,Police Services,Deputy Chief 3,277808.4,0,6379.36,284187.76
2017,Community Health,Management,Manager VIII,284024.31,0,0,284024.31
1994,Public Protection,Police Services,Deputy Chief 3,269665.2,0,14358.12,284023.32
1993,Public Protection,Correction & Detention,Senior Deputy Sheriff,117186.23,138204.05,28445.49,283835.77
2001,Public Protection,Fire Services,Asst Chf Of Dept (Fire Dept),207780.24,40667.91,35322.62,283770.77
1992,General Administration & Finance,Management,Controller,283712.21,0,0,283712.21
2016,Community Health,Nursing,Anesthetist,243267.86,6390.71,33911.18,283569.75
2011,Community Health,Nursing,Anesthetist,249316.21,14696.45,19453.22,283465.88
1996,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",179556.53,66032.21,37740.41,283329.15
2013,Public Protection,Police Services,Sergeant 3,97959.54,8609.6,176311.72,282880.86
2010,Public Protection,Fire Services,Firefighter,109597.32,153219.72,19908.2,282725.24
2012,Public Protection,Management,Dep Chf Of Dept (Fire Dept),261730.81,0,20938.47,282669.28
2016,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",184897.15,66173.57,31545.93,282616.65
1992,Public Protection,Management,Dep Chf Of Dept (Fire Dept),260728.04,0,21530.67,282258.71
2005,Public Protection,Police Services,Deputy Chief 3,102182.4,0,179315.18,281497.58
2004,Community Health,Management,Manager VIII,281376.98,0,0,281376.98
2007,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",181157.27,65666.65,34403.64,281227.56
1995,Community Health,Administrative & Mgmt (Unrep),"Manager, Department Of Public Health",281144.72,0,0,281144.72
2010,Public Protection,Fire Services,Asst Chf Of Dept (Fire Dept),207437.76,38196.58,35264.37,280898.71
2006,Public Protection,Fire Services,"Captain, Fire Suppression",147185.35,101814.02,31814.55,280813.92
1994,Public Protection,Police Services,Deputy Chief 3,273397.02,0,7211.29,280608.31
2008,Public Protection,Correction & Detention,Senior Deputy Sheriff,111584.27,148806.48,19874.12,280264.87
1998,Public Protection,Police Services,Deputy Chief 3,273397.01,0,6294.29,279691.3
2008,Public Protection,Fire Services,Incident Support Specialist,122962.34,140335.81,16312.27,279610.42
2001,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",182917.33,66497.61,30011.3,279426.24
2013,"Public Works, Transportation & Commerce",Management,Dep Dir V,279377.02,0,0,279377.02
2016,Public Protection,Correction & Detention,Sheriff (SFERS),263501.79,0,15809.56,279311.35
2017,Community Health,Management,Manager VIII,279230.22,0,0,279230.22
2005,General Administration & Finance,Administrative & Mgmt (Unrep),Mayor,279158.55,0,0,279158.55
2000,Public Protection,Police Services,Deputy Chief 3,273397.02,0,5605.58,279002.6
1995,"Public Works, Transportation & Commerce",Management,Executive Contract Employee,271439.64,0,7500,278939.64
2000,Public Protection,Fire Services,Asst Chf Of Dept (Fire Dept),211477.75,49805.91,17615.05,278898.71
2016,Public Protection,Fire Services,Asst Chf Of Dept (Fire Dept),208249.91,57736.82,12685.95,278672.68
2011,Public Protection,Police Services,Deputy Chief 3,277808.41,0,823.19,278631.6
2000,Public Protection,Fire Services,Asst Chf Of Dept (Fire Dept),207780.24,39718.47,30817.01,278315.72
2013,Public Protection,Fire Services,"Lieutenant, Fire Suppression",140665.26,118433.42,18940.26,278038.94
2001,Public Protection,Police Services,Sergeant 3,151022.71,113161.15,13755.88,277939.74
2017,Public Protection,Management,Dep Chf Of Dept (Fire Dept),260758.08,0,17097.74,277855.82
1993,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",179760.48,71491.55,26253.01,277505.04
1994,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",179464.17,74565.28,23226.15,277255.6
2009,Community Health,Nursing,Anesthetist,262678.28,1093.31,13373.25,277144.84
1992,"Public Works, Transportation & Commerce",Management,Dep Dir V,277097.48,0,0,277097.48
2011,Public Protection,Correction & Detention,Sheriff's Lieutenant,145142.12,111917.31,19953.33,277012.76
1999,Public Protection,Correction & Detention,Deputy Sheriff,99948.1,155401.75,21566.47,276916.32
2007,Public Protection,Police Services,Deputy Chief 3,269665.21,0,7130.01,276795.22
1992,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",181157.27,67844.05,27681.42,276682.74
2005,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",181453.58,68864.5,26310.66,276628.74
2003,Public Protection,Correction & Detention,Sheriff's Sergeant,126637.22,120691.42,29023.7,276352.34
2001,Public Protection,Police Services,Deputy Chief 3,269665.23,0,6216.51,275881.74
2016,Public Protection,Correction & Detention,Senior Deputy Sheriff,111178.58,138642.84,26050.19,275871.61
2000,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",179760.5,71907.16,23892.88,275560.54
2006,Public Protection,Fire Services,Asst Chf Of Dept (Fire Dept),203523.84,23526.75,48180.33,275230.92
1997,Community Health,Management,"Adm, SFGH Medical Center",275041.11,0,0,275041.11
2014,Community Health,Medical & Dental,Senior Physician Specialist,222908.83,0,52116.3,275025.13
2009,Public Protection,Fire Services,"Captain, Emergency Med Svcs",151768.53,101478.55,21723.48,274970.56
1996,Public Protection,Correction & Detention,Sheriff's Sergeant,122033.47,124455.33,28453.13,274941.93
2010,Community Health,Medical & Dental,Supervising Physician Spec,269560.8,0,5300,274860.8
2016,Community Health,Nursing,Nursing Supervisor,226125.46,0,48697.98,274823.44
2016,Public Protection,Police Services,Deputy Chief 3,268632,0,6190.68,274822.68
2007,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",177771.16,71195.23,25776.66,274743.05
1993,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",183152.86,53647.77,37664.91,274465.54
2016,Public Protection,Fire Services,"Lieutenant, Fire Suppression",132267.11,114457.49,27646.01,274370.61
2009,Public Protection,Police Services,Deputy Chief 3,273397.03,0,826.35,274223.38
2011,General Administration & Finance,Management,Controller,273925.84,0,0,273925.84
2002,General Administration & Finance,Management,Dept Head V,273925.82,0,0,273925.82
2006,Human Welfare & Neighborhood Development,Management,Dept Head V,273925.82,0,0,273925.82
2012,Community Health,Medical & Dental,Supervising Physician Spec,269560.81,0,4365,273925.81
2003,General Administration & Finance,Management,Dept Head V,273925.8,0,0,273925.8
1992,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",179760.53,72047.7,22114.22,273922.45
2000,Community Health,Medical & Dental,Senior Physician Specialist,234545.26,903.4,38391.78,273840.44
2010,Community Health,Administrative & Mgmt (Unrep),"Manager, Department Of Public Health",273795.45,0,0,273795.45
2010,Public Protection,Police Services,Deputy Chief 3,267598.8,0,6167.34,273766.14
2016,Community Health,Medical & Dental,Supervising Physician Spec,238014.31,0,35702.15,273716.46
1999,General Administration & Finance,Med Therapy & Auxiliary,Asst Med Examiner,248699.07,0,24982.5,273681.57
2006,General Administration & Finance,Administrative & Mgmt (Unrep),"Dep Dir For Investments, Ret",273446,0,0,273446
2007,Public Protection,Police Services,Sergeant 3,148120.75,107156.71,18130.64,273408.1
1995,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",177771.16,71495.67,24086.3,273353.13
2015,Public Protection,Police Services,Sergeant 3,145842.65,106232.51,20517.7,272592.86
2010,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",186641.45,49609.9,36263.91,272515.26
2012,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",179464.21,69906.72,23009.57,272380.5
2000,Public Protection,Fire Services,Asst Chf Of Dept (Fire Dept),205480.8,49667.65,17130.19,272278.64
2005,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",179464.24,62956.19,29809.97,272230.4
2009,Community Health,Medical & Dental,Supervising Physician Spec,269560.8,0,2655,272215.8
2007,General Administration & Finance,Administrative & Mgmt (Unrep),Mayor,272103,0,0,272103
1995,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",181266.61,62663.43,28009.93,271939.97
2002,Community Health,Medical & Dental,Senior Physician Specialist,218763.11,0,52794.48,271557.59
2005,Public Protection,Fire Services,"Lieut,Fire Prev",147867.51,114761.25,8872.05,271500.81
2015,Community Health,Medical & Dental,Senior Physician Specialist,227148.32,0,44122.25,271270.57
1997,Public Protection,Fire Services,"Capt,Fire Prev Or Fire Invsgtn",173160,83481.44,14541.8,271183.24
2006,Public Protection,Fire Services,"Captain, Fire Suppression",151020.49,89353.1,30798.09,271171.68
2015,Community Health,Medical & Dental,Senior Physician Specialist,235787.41,0,35368.11,271155.52
2013,Community Health,Management,"Adm, SFGH Medical Center",271007.32,0,0,271007.32
2011,Community Health,Medical & Dental,Senior Physician Specialist,220544.71,950.73,49206.71,270702.15
2014,Public Protection,Fire Services,"Lieut,Fire Prev",150071.34,111618.07,9004.28,270693.69
1993,Public Protection,Fire Services,Asst Chf Of Dept (Fire Dept),207437.76,32473.2,30770.21,270681.17
1998,Community Health,Nursing,Anesthetist,251239.42,2014.01,17074.75,270328.18
2008,Community Health,Management,"Adm, SFGH Medical Center",270058,0,0,270058
2003,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",179464.19,64099.24,26307.25,269870.68
2003,Community Health,Medical & Dental,Senior Physician Specialist,218015.24,1695.57,50139.7,269850.51
2000,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",184897.17,58739.74,26196.4,269833.31
1994,Public Protection,Fire Services,"Captain, Fire Suppression",154050.42,91412.07,24370.45,269832.94
2005,Public Protection,Correction & Detention,Deputy Sheriff,103504.1,144420.47,21804.2,269728.77
2011,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",184897.12,57937.03,26810.18,269644.33
2014,Community Health,Medical & Dental,Supervising Physician Spec,269560.8,0,0,269560.8
2002,Community Health,Nursing,Nursing Supervisor,226583.72,0,42884.5,269468.22
2017,Public Protection,Correction & Detention,Deputy Sheriff,105023.3,146997.23,17187.32,269207.85
1992,Community Health,Medical & Dental,Senior Physician Specialist,218905.32,306.15,49950.8,269162.27
1996,Community Health,Administrative & Mgmt (Unrep),"Manager, Department Of Public Health",269013.67,0,0,269013.67
2007,Community Health,Medical & Dental,Senior Physician Specialist,220571.16,0,48430.67,269001.83
1999,Public Protection,Police Services,Inspector 3,106140.11,44009.15,118758.65,268907.91
2005,Public Protection,Correction & Detention,Deputy Sheriff,105023.3,143957.36,19723.77,268704.43
2014,Public Protection,Correction & Detention,Deputy Sheriff,93132,151688.76,23784.3,268605.06
1999,Public Protection,Police Services,Deputy Chief 3,267598.8,0,919.18,268517.98
2008,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",183076.4,57726.24,27630.94,268433.58
2003,Public Protection,Legal & Court,District Attorney,268228.66,0,0,268228.66
2002,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",179464.27,52139.25,36583.11,268186.63
2008,Community Health,Nursing,Anesthetist,243423.28,7614.96,17051.73,268089.97
