LoanNumber,DateApproved,SBAOfficeCode,ProcessingMethod,BorrowerName,BorrowerAddress,BorrowerCity,BorrowerState,BorrowerZip,LoanStatusDate,LoanStatus,Term,SBAGuarantyPercentage,InitialApprovalAmount,CurrentApprovalAmount,UndisbursedAmount,FranchiseName,ServicingLenderLocationID,ServicingLenderName,ServicingLenderAddress,ServicingLenderCity,ServicingLenderState,ServicingLenderZip,RuralUrbanIndicator,HubzoneIndicator,LMIIndicator,BusinessAgeDescription,ProjectCity,ProjectCountyName,ProjectState,ProjectZip,CD,JobsReported,NAICSCode,Race,Ethnicity,UTILITIES_PROCEED,PAYROLL_PROCEED,MORTGAGE_INTEREST_PROCEED,RENT_PROCEED,REFINANCE_EIDL_PROCEED,HEALTH_CARE_PROCEED,DEBT_INTEREST_PROCEED,BusinessType,OriginatingLenderLocationID,OriginatingLender,OriginatingLenderCity,OriginatingLenderState,Gender,Veteran,NonProfit,ForgivenessAmount,ForgivenessDate
9662697710,05/01/2020,101,PPP,"MILFAST INDUSTRIAL SUPPLY, INC",,,,,11/17/2021,Paid in Full,24,100,174046.0,174046.0,0,,57328,The Huntington National Bank,17 S High St.,COLUMBUS,OH,43215-3413,U,N,N,Existing or more than 2 years old,,,,,,18,423840.0,Unanswered,Unknown/NotStated,,174046.0,,,,,,,57328,The Huntington National Bank,COLUMBUS,OH,Female Owned,Non-Veteran,,175643.41,04/06/2021
9724667708,05/01/2020,101,PPP,FERNANDINA BEACH HOTEL GROUP LLC,,,,,08/17/2021,Paid in Full,24,100,170170.0,170170.0,0,,57328,The Huntington National Bank,17 S High St.,COLUMBUS,OH,43215-3413,U,N,N,Unanswered,,,,,,12,721110.0,Unanswered,Unknown/NotStated,,170170.0,,,,,,Limited  Liability Company(LLC),57328,The Huntington National Bank,COLUMBUS,OH,Unanswered,Unanswered,,172263.32,07/29/2021
9672967701,05/01/2020,101,PPP,OTTAWA PRODUCTS CO INC,,,,,11/17/2021,Paid in Full,24,100,155010.0,155010.0,0,,57328,The Huntington National Bank,17 S High St.,COLUMBUS,OH,43215-3413,U,N,N,Unanswered,,,,,,11,332510.0,Unanswered,Unknown/NotStated,,155010.0,,,,,,Corporation,57328,The Huntington National Bank,COLUMBUS,OH,Unanswered,Unanswered,,156504.89,04/23/2021
5502308207,08/08/2020,1084,PPP,"KAKIVIK ASSET MANAGEMENT, LLC",5015 BUSINESS PARK BLVD,ANCHORAGE,AK,99503-7146,07/22/2021,Paid in Full,60,100,9571397.0,9538531.0,0,,116975,Northrim Bank,3111 'C' St,ANCHORAGE,AK,99503,U,Y,Y,Existing or more than 2 years old,ANCHORAGE,ANCHORAGE,AK,99503-7146,AK-,385,541990.0,Unanswered,Unknown/NotStated,,9538531.0,,,,,,Limited  Liability Company(LLC),116975,Northrim Bank,ANCHORAGE,AK,Unanswered,Unanswered,,9615884.57,06/11/2021
6110847106,04/14/2020,1084,PPP,"ARCTIC SLOPE NATIVE ASSOCIATION, LTD.",7000 Uula St,BARROW,AK,99723,08/21/2021,Paid in Full,24,100,7666768.0,7666768.0,0,,89628,"National Cooperative Bank, National Association",139 S High St,HILLSBORO,OH,45133-1442,R,N,N,Existing or more than 2 years old,BARROW,NORTH SLOPE,AK,99723-0001,AK-,295,813920.0,Unanswered,Unknown/NotStated,,7666768.0,,,,,,Non-Profit Organization,89628,"National Cooperative Bank, National Association",HILLSBORO,OH,Unanswered,Unanswered,Y,7761324.81,07/13/2021
4539098204,08/06/2020,1084,PPP,CORVUS AIRLINES INC,4700 Old International Airport Rd,Anchorage,AK,99502-1130,,Exemption 4,60,100,7398947.89,7398947.89,0,,436276,Idaho First Bank,475 E Deinhard Ln,MCCALL,ID,83638-4800,U,N,N,Existing or more than 2 years old,Anchorage,ANCHORAGE,AK,99502-1130,AK-,500,481111.0,Unanswered,Unknown/NotStated,,7398947.89,,,,,,Corporation,436276,Idaho First Bank,MCCALL,ID,Unanswered,Unanswered,,4891430.37,06/22/2022
5120868804,04/17/2021,1084,PPP,HOPE COMMUNITY RESOURCES INC.,540 W Intl Airport Rd,Anchorage,AK,99518-1105,,Exemption 4,60,100,7223025.0,7223025.0,0,,3386,First National Bank Alaska,101 W 36th Ave,ANCHORAGE,AK,99503-5904,U,N,N,Existing or more than 2 years old,Anchorage,ANCHORAGE,AK,99518-1105,AK-,500,624120.0,Unanswered,Unknown/NotStated,,7223025.0,,,,,,501(c)3 – Non Profit,3386,First National Bank Alaska,ANCHORAGE,AK,Unanswered,Unanswered,Y,,
6650277102,04/14/2020,1084,PPP,SOUTH PENINSULA HOSPITAL INC,4300 BARTLETT STREET,HOMER,AK,99603,06/09/2021,Paid in Full,24,100,6528631.4,6528631.4,0,,3386,First National Bank Alaska,101 W 36th Ave,ANCHORAGE,AK,99503-5904,R,Y,N,Existing or more than 2 years old,HOMER,KENAI PENINSULA,AK,99603-0001,AK-,439,622110.0,Unanswered,Unknown/NotStated,,5037890.65,,,,1490740.75,,Corporation,3386,First National Bank Alaska,ANCHORAGE,AK,Unanswered,Unanswered,,6598389.38,05/18/2021
6732787302,04/30/2020,1084,PPP,"TYONEK GLOBAL SERVICES, LLC",1689 C ST,ANCHORAGE,AK,99501,,Exemption 4,30,100,6422316.0,6422316.0,0,,44449,"PNC Bank, National Association",222 Delaware Ave,WILMINGTON,DE,19801-1621,U,Y,Y,Existing or more than 2 years old,ANCHORAGE,ANCHORAGE,AK,99501-5115,AK-,478,611420.0,Unanswered,Unknown/NotStated,,6422316.0,,,,,,Limited  Liability Company(LLC),44449,"PNC Bank, National Association",WILMINGTON,DE,Unanswered,Unanswered,,,
6735557309,04/30/2020,1084,PPP,"TYONEK WORLDWIDE SERVICES, INC.",1689 C ST,ANCHORAGE,AK,99501,,Exemption 4,60,100,6412487.0,6412487.0,0,,44449,"PNC Bank, National Association",222 Delaware Ave,WILMINGTON,DE,19801-1621,U,Y,Y,Existing or more than 2 years old,ANCHORAGE,ANCHORAGE,AK,99501-5115,AK-,42,488190.0,Unanswered,Unknown/NotStated,,6412487.0,,,,,,Subchapter S Corporation,44449,"PNC Bank, National Association",WILMINGTON,DE,Unanswered,Unanswered,,,
3323817108,04/11/2020,1084,PPP,"COPPER RIVER SEAFOODS, INC.",1118 5TH AVE,ANCHORAGE,AK,99501-2759,08/13/2021,Paid in Full,24,100,3009400.0,6382400.0,0,,119918,East West Bank,"135 N Los Robles Ave, 7th Fl",PASADENA,CA,91101-4525,U,N,Y,Existing or more than 2 years old,ANCHORAGE,ANCHORAGE,AK,99501-2759,AK-,303,311710.0,Unanswered,Unknown/NotStated,,6382400.0,,,,,,Corporation,119918,East West Bank,PASADENA,CA,Male Owned,Non-Veteran,,6461470.84,07/07/2021
1570017908,06/10/2020,1084,PPP,MATANUSKA TELEPHONE ASSOCIATION,1740 S. CHUGACH ST,PALMER,AK,99645-6732,07/14/2021,Paid in Full,60,100,5928882.0,5928882.0,0,,194499,CoBank ACB,6340 S Fiddlers Green Cir #1908,Greenwood Village,CO,80111,R,Y,N,Existing or more than 2 years old,PALMER,MATANUSKA SUSITNA,AK,99645-6732,AK-,267,517311.0,Unanswered,Unknown/NotStated,,5928882.0,,,,,,Cooperative,194499,CoBank ACB,Greenwood Village,CO,Unanswered,Unanswered,,5987841.44,06/10/2021
3569947101,04/11/2020,1084,PPP,"I. C. E. SERVICES, INC",2606 C Street,ANCHORAGE,AK,99503-2618,08/20/2021,Paid in Full,24,100,5286350.0,5682490.0,0,,56102,KeyBank National Association,127 Public Sq,CLEVELAND,OH,44114-1217,U,N,Y,Unanswered,ANCHORAGE,ANCHORAGE,AK,99503-2618,AK-,367,722310.0,Unanswered,Unknown/NotStated,,5682490.0,,,,,,Corporation,56102,KeyBank National Association,CLEVELAND,OH,Unanswered,Unanswered,,5751925.36,07/22/2021
7234997101,04/14/2020,1084,PPP,"TATITLEK TECHNOLOGIES, INC.",561 E. 36th Avenue,ANCHORAGE,AK,99503-4137,10/21/2020,Paid in Full,24,100,5157628.0,5157628.0,0,,56102,KeyBank National Association,127 Public Sq,CLEVELAND,OH,44114-1217,U,Y,Y,Unanswered,ANCHORAGE,ANCHORAGE,AK,99503-4137,AK-,361,518210.0,Unanswered,Unknown/NotStated,,5157628.0,,,,,,Corporation,56102,KeyBank National Association,CLEVELAND,OH,Unanswered,Unanswered,,,
6197677007,04/06/2020,1084,PPP,"NORTHERN ENERGY SERVICES, LLC",6250 South Airpark Place,ANCHORAGE,AK,99502-1865,08/20/2021,Paid in Full,24,100,5095098.0,5095098.0,0,,116975,Northrim Bank,3111 'C' St,ANCHORAGE,AK,99503,U,N,N,Existing or more than 2 years old,ANCHORAGE,ANCHORAGE,AK,99502-1865,AK-,298,213112.0,Unanswered,Unknown/NotStated,,5095098.0,,,,,,Limited  Liability Company(LLC),116975,Northrim Bank,ANCHORAGE,AK,Unanswered,Unanswered,,5161124.89,07/28/2021
2256077301,04/29/2020,1084,PPP,KATMAI HEALTH SERVICES LLC,"11001 O'MALLEY CENTRE DRIVE, SUITE 204",Anchorage,AK,99515,11/23/2021,Paid in Full,24,100,5036100.0,5036100.0,0,,225134,Truist Bank,214 N Tryon St,CHARLOTTE,NC,28202-1078,U,N,N,Existing or more than 2 years old,Anchorage,ANCHORAGE,AK,99515-0001,AK-,500,621111.0,Unanswered,Unknown/NotStated,,5036100.0,,,,,,Limited  Liability Company(LLC),225134,Truist Bank,CHARLOTTE,NC,Unanswered,Unanswered,,5091636.99,06/11/2021
8062947105,04/15/2020,1084,PPP,CRUZ CONSTRUCTION INC,7000 East Palmer Wasilla Hwy,PALMER,AK,99645,07/08/2021,Paid in Full,24,100,5019000.24,5019000.24,0,,3386,First National Bank Alaska,101 W 36th Ave,ANCHORAGE,AK,99503-5904,R,Y,N,Existing or more than 2 years old,PALMER,MATANUSKA SUSITNA,AK,99645-0001,AK-,215,238190.0,Unanswered,Unknown/NotStated,12565.0,4285941.88,,266000.0,,454493.36,,Subchapter S Corporation,3386,First National Bank Alaska,ANCHORAGE,AK,Unanswered,Unanswered,,5075790.57,06/11/2021
2465287203,04/16/2020,1084,PPP,"YULISTA TACTICAL, LLC",5015 BUSINESS PARK BLVD Suite 3000,ANCHORAGE,AK,99503-7146,08/20/2021,Paid in Full,24,100,5015465.0,5015465.0,0,,56102,KeyBank National Association,127 Public Sq,CLEVELAND,OH,44114-1217,U,Y,Y,Existing or more than 2 years old,ANCHORAGE,ANCHORAGE,AK,99503-7146,AK-,220,541614.0,Unanswered,Unknown/NotStated,,5015465.0,,,,,,Limited  Liability Company(LLC),56102,KeyBank National Association,CLEVELAND,OH,Unanswered,Unanswered,,,
6033737702,05/01/2020,1084,PPP,AHTNA SUPPORT AND TRAINING SERVICES LLC,110 W 38th Ave Ste 100,Anchorage,AK,99503,11/18/2021,Paid in Full,24,100,4986465.0,4986465.0,0,,9551,"Bank of America, National Association","100 N Tryon St, Ste 170",CHARLOTTE,NC,28202-4024,U,Y,Y,New Business or 2 years or less,Anchorage,ANCHORAGE,AK,99503-0100,AK-,484,541690.0,Unanswered,Unknown/NotStated,,4986465.0,,,,,,,9551,"Bank of America, National Association",CHARLOTTE,NC,Unanswered,Unanswered,,532354.01,09/20/2021
9643427203,04/28/2020,1084,PPP,HOMER ELECTRIC ASSOCIATION INC,3977 LAKE STREET,HOMER,AK,99603,07/08/2021,Paid in Full,24,100,4808473.42,4808473.42,0,,3386,First National Bank Alaska,101 W 36th Ave,ANCHORAGE,AK,99503-5904,R,Y,N,Existing or more than 2 years old,HOMER,KENAI PENINSULA,AK,99603-0001,AK-,145,221122.0,Unanswered,Unknown/NotStated,,4808473.42,,,,,,Corporation,3386,First National Bank Alaska,ANCHORAGE,AK,Unanswered,Unanswered,,4861564.24,06/14/2021
7670387102,04/14/2020,1084,PPP,TIKIGAQ CORPORATION,701 S. Knik Goose Bay Road Suite M,WASILLA,AK,99654-8084,07/20/2021,Paid in Full,24,100,4780025.0,4780025.0,0,,116975,Northrim Bank,3111 'C' St,ANCHORAGE,AK,99503,R,Y,N,Existing or more than 2 years old,WASILLA,MATANUSKA SUSITNA,AK,99654-8084,AK-,341,921150.0,Unanswered,Not Hispanic or Latino,,4780025.0,,,,,,Corporation,116975,Northrim Bank,ANCHORAGE,AK,Male Owned,Veteran,,4835551.87,06/22/2021
3247947109,04/11/2020,1084,PPP,TEYA SERVICES LLC,101 EAST 9TH AVENUE SUTE 9B,ANCHORAGE,AK,99501,04/07/2022,Paid in Full,24,100,4290910.0,4290910.0,0,,3386,First National Bank Alaska,101 W 36th Ave,ANCHORAGE,AK,99503-5904,U,N,N,Existing or more than 2 years old,ANCHORAGE,ANCHORAGE,AK,99501-0999,AK-,430,551114.0,Unanswered,Unknown/NotStated,83182.0,3432728.0,,,,775000.0,,Limited  Liability Company(LLC),3386,First National Bank Alaska,ANCHORAGE,AK,Unanswered,Unanswered,,4032262.82,01/12/2022
3380457103,04/11/2020,1084,PPP,TATONDUK OUTFITTERS LTD,5525 Airport Industrial Rd.,FAIRBANKS,AK,99709-4470,08/19/2021,Paid in Full,24,100,4277000.0,4277000.0,0,,56102,KeyBank National Association,127 Public Sq,CLEVELAND,OH,44114-1217,R,Y,N,Unanswered,FAIRBANKS,FAIRBANKS NORTH STAR,AK,99709-4470,AK-,336,481211.0,Unanswered,Unknown/NotStated,,4277000.0,,,,,,Subchapter S Corporation,56102,KeyBank National Association,CLEVELAND,OH,Male Owned,Non-Veteran,,4331136.27,07/27/2021
6754309008,05/23/2021,1084,PPP,DENA' NENA' HENASH,122 1st Ave Ste 600,Fairbanks,AK,99701-4803,,Exemption 4,60,100,4029190.0,4029190.0,0,,495900,Rural Community Assistance Corporation,3120 Freeboard Drive,West Sacramento,CA,95691,R,Y,Y,Existing or more than 2 years old,Fairbanks,FAIRBANKS NORTH STAR,AK,99701-4803,AK-,500,924120.0,Unanswered,Unknown/NotStated,1.0,4029187.0,,,,,,Non-Profit Organization,495900,Rural Community Assistance Corporation,West Sacramento,CA,Unanswered,Unanswered,Y,,
6733687309,04/30/2020,1084,PPP,"TYONEK MANUFACTURING GROUP, INC.",1689 C ST,ANCHORAGE,AK,99501,,Exemption 4,60,100,3912364.0,3912364.0,0,,44449,"PNC Bank, National Association",222 Delaware Ave,WILMINGTON,DE,19801-1621,U,Y,Y,Existing or more than 2 years old,ANCHORAGE,ANCHORAGE,AK,99501-5115,AK-,345,551112.0,Unanswered,Unknown/NotStated,,3912364.0,,,,,,Subchapter S Corporation,44449,"PNC Bank, National Association",WILMINGTON,DE,Unanswered,Unanswered,,,
7689017009,04/08/2020,1084,PPP,"RESOURCE DATA, INC","560 East 34th Avenue, Suite 100",ANCHORAGE,AK,99503-4116,07/21/2021,Paid in Full,24,100,3793617.0,3793618.0,0,,116975,Northrim Bank,3111 'C' St,ANCHORAGE,AK,99503,U,Y,Y,Existing or more than 2 years old,ANCHORAGE,ANCHORAGE,AK,99503-4116,AK-,194,541511.0,Unanswered,Unknown/NotStated,,3793618.0,,,,,,Subchapter S Corporation,116975,Northrim Bank,ANCHORAGE,AK,Unanswered,Unanswered,,3838413.87,06/28/2021
4820397010,04/04/2020,1084,PPP,"COLVILLE, INC.",4300 B Street,ANCHORAGE,AK,99503-5913,07/20/2021,Paid in Full,24,100,3776300.0,3776300.0,0,,116975,Northrim Bank,3111 'C' St,ANCHORAGE,AK,99503,U,Y,Y,Existing or more than 2 years old,ANCHORAGE,ANCHORAGE,AK,99503-5913,AK-,213,454319.0,White,Not Hispanic or Latino,,3776300.0,,,,,,Corporation,116975,Northrim Bank,ANCHORAGE,AK,Male Owned,Non-Veteran,,3819960.24,06/11/2021
7054477003,04/07/2020,1084,PPP,"MRD, INC.",800 NORTHERN LIGHTS BLVD,ANCHORAGE,AK,99503-3713,07/21/2021,Paid in Full,24,100,3774800.0,3774800.0,0,McDonalds,116975,Northrim Bank,3111 'C' St,ANCHORAGE,AK,99503,U,N,Y,Existing or more than 2 years old,ANCHORAGE,ANCHORAGE,AK,99503-3713,AK-,500,722514.0,Unanswered,Unknown/NotStated,,3774800.0,,,,,,Subchapter S Corporation,116975,Northrim Bank,ANCHORAGE,AK,Unanswered,Unanswered,,3817615.54,06/11/2021
1712467104,04/10/2020,1084,PPP,ENGINEERED SOLUTIONS GROUP,"3305 Arctic Boulevard, Suite 201",ANCHORAGE,AK,99503-4522,07/20/2021,Paid in Full,24,100,3894547.0,3711148.0,0,,116975,Northrim Bank,3111 'C' St,ANCHORAGE,AK,99503,U,Y,Y,Existing or more than 2 years old,ANCHORAGE,ANCHORAGE,AK,99503-4522,AK-,158,541330.0,White,Not Hispanic or Latino,,3711148.0,,,,,,Subchapter S Corporation,116975,Northrim Bank,ANCHORAGE,AK,Female Owned,Non-Veteran,,3753444.92,06/11/2021
4958077000,04/04/2020,1084,PPP,"ALLEN MARINE TOURS, INC.",1512 Sawmill Creek Rd,SITKA,AK,99835-9704,07/20/2021,Paid in Full,24,100,3600000.0,3554703.0,0,,116975,Northrim Bank,3111 'C' St,ANCHORAGE,AK,99503,U,Y,N,Existing or more than 2 years old,SITKA,SITKA,AK,99835-9704,AK-,170,561520.0,Unanswered,Not Hispanic or Latino,,3554703.0,,,,,,Corporation,116975,Northrim Bank,ANCHORAGE,AK,Male Owned,Non-Veteran,,3595314.26,06/11/2021
2433997210,04/16/2020,1084,PPP,"TUNISTA SERVICES, LLC",5015 BUSINESS PARK BLVD Suite 3000,ANCHORAGE,AK,99503-7146,08/20/2021,Paid in Full,24,100,3546295.0,3546295.0,0,,56102,KeyBank National Association,127 Public Sq,CLEVELAND,OH,44114-1217,U,Y,Y,Existing or more than 2 years old,ANCHORAGE,ANCHORAGE,AK,99503-7146,AK-,244,811412.0,Unanswered,Unknown/NotStated,,3546295.0,,,,,,Limited  Liability Company(LLC),56102,KeyBank National Association,CLEVELAND,OH,Unanswered,Unanswered,,,
5586637103,04/13/2020,1084,PPP,"GEONORTH, LLC.",561 E. 36th Ave.,ANCHORAGE,AK,99503-4137,10/21/2020,Paid in Full,24,100,3535477.0,3535477.0,0,,56102,KeyBank National Association,127 Public Sq,CLEVELAND,OH,44114-1217,U,Y,Y,Unanswered,ANCHORAGE,ANCHORAGE,AK,99503-4137,AK-,188,541511.0,Unanswered,Unknown/NotStated,,3535477.0,,,,,,Limited  Liability Company(LLC),56102,KeyBank National Association,CLEVELAND,OH,Unanswered,Unanswered,,,
4605797009,04/04/2020,1084,PPP,"FULLFORD ELECTRIC, INC.",303 E VAN HORN RD,FAIRBANKS,AK,99701-7625,07/20/2021,Paid in Full,24,100,2599900.0,3425709.0,0,,116975,Northrim Bank,3111 'C' St,ANCHORAGE,AK,99503,R,Y,N,Existing or more than 2 years old,FAIRBANKS,FAIRBANKS NORTH STAR,AK,99701-7625,AK-,82,238210.0,Unanswered,Unknown/NotStated,,3425709.0,,,,,,Subchapter S Corporation,116975,Northrim Bank,ANCHORAGE,AK,Male Owned,Unanswered,,3464752.7,06/11/2021
4042717100,04/12/2020,1084,PPP,"PRUHS CONSTRUCTION CO., L.L.C.",2193 Viking Dr,ANCHORAGE,AK,99501-1730,08/20/2021,Paid in Full,24,100,1625000.0,3403381.0,0,,56102,KeyBank National Association,127 Public Sq,CLEVELAND,OH,44114-1217,U,Y,Y,Unanswered,ANCHORAGE,ANCHORAGE,AK,99501-1730,AK-,10,237310.0,White,Unknown/NotStated,,3403381.0,,,,,,Limited  Liability Company(LLC),56102,KeyBank National Association,CLEVELAND,OH,Male Owned,Non-Veteran,,3446179.68,07/26/2021
5116757110,04/13/2020,1084,PPP,ALYESKA RESORT OPERATIONS LIMITED PARTNERSHIP,1000 Arlberg Ave,GIRDWOOD,AK,99587,09/24/2021,Paid in Full,24,100,3400700.0,3400700.0,0,,21442,BMO Harris Bank National Association,111 W Monroe St,CHICAGO,IL,60603-4096,U,N,N,New Business or 2 years or less,GIRDWOOD,ANCHORAGE,AK,99587-0001,AK-,393,721110.0,Unanswered,Unknown/NotStated,,3400700.0,,,,,,Partnership,21442,BMO Harris Bank National Association,CHICAGO,IL,Unanswered,Unanswered,,3444210.33,08/10/2021
8106777007,04/08/2020,1084,PPP,"ALASKA HEART INSTITUTE, LLC",3841 Piper Street Suite T-100,ANCHORAGE,AK,99508-4674,09/28/2021,Paid in Full,24,100,3388097.0,3388097.0,0,,116975,Northrim Bank,3111 'C' St,ANCHORAGE,AK,99503,U,N,N,Existing or more than 2 years old,ANCHORAGE,ANCHORAGE,AK,99508-4674,AK-,240,621111.0,Unanswered,Unknown/NotStated,,3388097.0,,,,,,Subchapter S Corporation,116975,Northrim Bank,ANCHORAGE,AK,Unanswered,Unanswered,,3433116.92,08/20/2021
4919167000,04/04/2020,1084,PPP,"ORTHOALASKA, LLC",3801 Lake Otis Parkway,ANCHORAGE,AK,99508-5233,07/21/2021,Paid in Full,24,100,3377500.0,3377500.0,0,,116975,Northrim Bank,3111 'C' St,ANCHORAGE,AK,99503,U,N,N,Existing or more than 2 years old,ANCHORAGE,ANCHORAGE,AK,99508-5233,AK-,240,621111.0,Unanswered,Unknown/NotStated,,3377500.0,,,,,,Limited  Liability Company(LLC),116975,Northrim Bank,ANCHORAGE,AK,Unanswered,Unanswered,,3416179.32,06/09/2021
3146037304,04/29/2020,1084,PPP,AHTNA ENVIRONMENTAL INC,110 W 38th Ave Ste 200B,ANCHORAGE,AK,99503-5677,11/18/2021,Paid in Full,24,100,3344500.0,3344500.0,0,,9551,"Bank of America, National Association","100 N Tryon St, Ste 170",CHARLOTTE,NC,28202-4024,U,Y,Y,Unanswered,ANCHORAGE,ANCHORAGE,AK,99503-5677,AK-,180,562910.0,Unanswered,Unknown/NotStated,,3344500.0,,,,,,Corporation,9551,"Bank of America, National Association",CHARLOTTE,NC,Unanswered,Unanswered,,2116516.61,09/20/2021
